region,lobe
bankssts,temporal
caudalanteriorcingulate,cingulate
caudalmiddlefrontal,frontal
cuneus,occipital
entorhinal,temporal
frontalpole,frontal
fusiform,temporal
inferiorparietal,parietal
inferiortemporal,temporal
insula,frontal
isthmuscingulate,cingulate
lateraloccipital,occipital
lateralorbitofrontal,frontal
lingual,occipital
medialorbitofrontal,frontal
middletemporal,temporal
paracentral,frontal
parahippocampal,temporal
parsopercularis,frontal
parsorbitalis,frontal
parstriangularis,frontal
pericalcarine,occipital
postcentral,parietal
posteriorcingulate,cingulate
precentral,frontal
precuneus,parietal
rostralanteriorcingulate,cingulate
rostralmiddlefrontal,frontal
superiorfrontal,frontal
superiorparietal,parietal
superiortemporal,temporal
supramarginal,parietal
temporalpole,temporal
transversetemporal,temporal
